Frame,Class_0,Class_0_total,Class_0_pos,Class_1,Class_1_total,Class_1_pos,Class_2,Class_2_total,Class_2_pos,Class_3,Class_3_total,Class_3_pos,Class_4,Class_4_total,Class_4_pos,Class_5,Class_5_total,Class_5_pos,FrameIndex
338,0.542,131,60,0.5077,65,32,0.7857,14,3,0.0,2,2,0.3333,6,4,0.85,20,3,169
340,0.542,131,60,0.5077,65,32,0.7857,14,3,0.0,2,2,0.3333,6,4,0.85,20,3,170
342,0.542,131,60,0.5077,65,32,0.7857,14,3,0.0,2,2,0.3333,6,4,0.85,20,3,171
344,0.542,131,60,0.5077,65,32,0.7857,14,3,0.0,2,2,0.3333,6,4,0.85,20,3,172
346,0.542,131,60,0.5077,65,32,0.7857,14,3,0.0,2,2,0.3333,6,4,0.85,20,3,173
348,0.542,131,60,0.5077,65,32,0.7857,14,3,0.0,2,2,0.3333,6,4,0.85,20,3,174
350,0.542,131,60,0.5077,65,32,0.7857,14,3,0.0,2,2,0.3333,6,4,0.85,20,3,175
352,0.542,131,60,0.5077,65,32,0.7857,14,3,0.0,2,2,0.3333,6,4,0.85,20,3,176
354,0.542,131,60,0.5077,65,32,0.7857,14,3,0.0,2,2,0.3333,6,4,0.85,20,3,177
356,0.542,131,60,0.5077,65,32,0.7857,14,3,0.0,2,2,0.3333,6,4,0.85,20,3,178
358,0.542,131,60,0.5077,65,32,0.7857,14,3,0.0,2,2,0.3333,6,4,0.85,20,3,179
360,0.542,131,60,0.5077,65,32,0.7857,14,3,0.0,2,2,0.3333,6,4,0.85,20,3,180
362,0.542,131,60,0.5077,65,32,0.7857,14,3,0.0,2,2,0.3333,6,4,0.85,20,3,181
364,0.542,131,60,0.5077,65,32,0.7857,14,3,0.0,2,2,0.3333,6,4,0.85,20,3,182
366,0.542,131,60,0.5077,65,32,0.7857,14,3,0.0,2,2,0.3333,6,4,0.85,20,3,183
368,0.542,131,60,0.5077,65,32,0.7857,14,3,0.0,2,2,0.3333,6,4,0.85,20,3,184
370,0.542,131,60,0.5077,65,32,0.7857,14,3,0.0,2,2,0.3333,6,4,0.85,20,3,185
372,0.5496,131,59,0.5231,65,31,0.7857,14,3,0.0,2,2,0.3333,6,4,0.85,20,3,186
374,0.5496,131,59,0.5231,65,31,0.7857,14,3,0.0,2,2,0.3333,6,4,0.85,20,3,187
376,0.5496,131,59,0.5231,65,31,0.7857,14,3,0.0,2,2,0.3333,6,4,0.85,20,3,188
378,0.5496,131,59,0.5231,65,31,0.7857,14,3,0.0,2,2,0.3333,6,4,0.85,20,3,189
380,0.5573,131,58,0.5231,65,31,0.7857,14,3,0.0,2,2,0.3333,6,4,0.85,20,3,190
382,0.5573,131,58,0.5231,65,31,0.7857,14,3,0.0,2,2,0.3333,6,4,0.9,20,2,191
384,0.5649,131,57,0.5538,65,29,0.7857,14,3,0.0,2,2,0.3333,6,4,0.9,20,2,192
