CellID,Subtype,StartFrame,EndFrame,StartTimeSec,EndTimeSec,DurationSec,CompletionStatus,MeanChangeScore,MaxChangeScore,MeanSubtypeDelta,MeanShapeDelta,MeanTextureDelta,MeanHistDelta,StableFramesRequired,ChangeThreshold,MinDurationSec,EndpointSubtypeProb
116.0,final_sickled,353,354.0,88.25,88.5,0.25,completed,0.01636061803631795,0.02921627125469968,0.030384280408422153,0.008509612952669462,0.0044674094921598835,0.005360921223958333,6,0.03,0,0.7355681657791138
117.0,final_sickled,198,199.0,49.5,49.75,0.25,completed,0.017971250450257988,0.025222345991642216,0.03249389740327994,0.011377985996659845,0.0033484481391496956,0.004582722981770833,6,0.03,0,0.9770587682723999
118.0,final_sickled,228,229.0,57.0,57.25,0.25,completed,0.01601667080055146,0.025151574693154547,0.019750168547034264,0.01905061735305935,0.0061081069288775325,0.005482991536458333,6,0.03,0,0.8205340504646301
119.0,final_sickled,279,280.0,69.75,70.0,0.25,completed,0.009231393595756447,0.01994676896138117,0.019544346258044243,0.006908815635445838,0.003976724168751389,0.0037434895833333335,6,0.03,0,0.7831411361694336
120.0,final_sickled,216,217.0,54.0,54.25,0.25,completed,0.014978366383002142,0.018611792201409117,0.019221877058347065,0.01735754668091734,0.004721083484279613,0.004994710286458333,6,0.03,0,0.8523778915405273
122.0,semi_sickled,260,266.0,65.0,66.5,1.5,completed,0.01106932256397241,0.037514321971684694,0.02038678526878357,0.005781878336248073,0.0038650017760863357,0.003262606534090909,6,0.03,0,0.5374707579612732
124.0,final_sickled,101,102.0,25.25,25.5,0.25,completed,0.012305854024210324,0.017475960496813058,0.015676820029815037,0.014597447433819374,0.004300448577851057,0.0031077067057291665,6,0.03,0,0.9443820714950562
127.0,final_sickled,184,235.0,46.0,58.75,12.75,completed,0.028927718164647682,0.11708675859845244,0.04983346749629293,0.022606433435742344,0.004377635290438775,0.004279000418526786,6,0.03,0,0.589134693145752
128.0,final_sickled,476,,119.0,,,not_completed,0.009637929606833495,0.01459287143952679,0.014675763746102652,0.00830219266936183,0.0024901496168846884,0.004404703776041667,6,0.03,0,0.8466793298721313
129.0,final_sickled,292,293.0,73.0,73.25,0.25,completed,0.013005785983599102,0.025674127030652017,0.01806727300087611,0.012662574299611151,0.006299894768744707,0.004475911458333333,6,0.03,0,0.8716828227043152
130.0,semi_sickled,280,294.0,70.0,73.5,3.5,completed,0.029825178896786195,0.1801612550392747,0.06095174229458759,0.012669246049450808,0.004803736527193044,0.0032782303659539473,6,0.03,0,0.626165509223938
133.0,final_sickled,408,409.0,102.0,102.25,0.25,completed,0.01595780553179793,0.02731290925294161,0.028176361074050266,0.010188709362410009,0.005068538865695397,0.0039011637369791665,6,0.03,0,0.6450285315513611
134.0,semi_sickled,479,,119.75,,,not_completed,,,,,,,6,0.03,0,0.6892317533493042
135.0,final_sickled,104,105.0,26.0,26.25,0.25,completed,0.008585006868815982,0.012553896266035735,0.007904181256890297,0.011908676358871162,0.005968284443952143,0.0040740966796875,6,0.03,0,0.9585452079772949
137.0,semi_sickled,291,292.0,72.75,73.0,0.25,completed,0.014987414288528575,0.026080741558689623,0.024051354577143986,0.012250007130205631,0.004850780009292066,0.0037841796875,6,0.03,0,0.725441038608551
138.0,final_sickled,232,233.0,58.0,58.25,0.25,completed,0.010124222376422647,0.013103596400469542,0.015238376955191294,0.008138920646160841,0.0045490099194770055,0.004892985026041667,6,0.03,0,0.7788864970207214
140.0,final_sickled,201,202.0,50.25,50.5,0.25,completed,0.009021737714647315,0.01589929477777332,0.012928148110707601,0.006779415707569569,0.00793555883380274,0.0038859049479166665,6,0.03,0,0.8397946357727051
143.0,semi_sickled,143,147.0,35.75,36.75,1.0,completed,0.016068213635137205,0.034489324875175954,0.0285336176554362,0.010953607658545176,0.0035434000633863937,0.003024631076388889,6,0.03,0,0.5214923620223999
144.0,final_sickled,426,427.0,106.5,106.75,0.25,completed,0.00936786599777406,0.013873239606618883,0.011049523949623108,0.011553039425052702,0.0025209751329384744,0.0047149658203125,6,0.03,0,0.5389295816421509
145.0,semi_sickled,209,218.0,52.25,54.5,2.25,completed,0.01746525702141558,0.0333261632709764,0.028971546994788305,0.013276132954550641,0.006044854692715619,0.003795078822544643,6,0.03,0,0.5075362920761108
147.0,final_sickled,327,353.0,81.75,88.25,6.5,completed,0.022387655877232213,0.12241844646632671,0.03949764346884143,0.016197973892333045,0.004305656520544642,0.0030488044984879033,6,0.03,0,0.6382548213005066
148.0,final_sickled,244,245.0,61.0,61.25,0.25,completed,0.010932369669899343,0.017333385028177873,0.021144460886716843,0.004728366620838642,0.003413945436477661,0.003143310546875,6,0.03,0,0.623196005821228
149.0,semi_sickled,227,228.0,56.75,57.0,0.25,completed,0.010896932485532793,0.01827492768643424,0.01861645933240652,0.007115976768545806,0.0033852490790498755,0.004292805989583333,6,0.03,0,0.6464630365371704
150.0,final_sickled,249,250.0,62.25,62.5,0.25,completed,0.015417696195315028,0.028958064620383084,0.0216374471783638,0.016953744692727923,0.003665962110972032,0.0029652913411458335,6,0.03,0,0.8551540374755859
151.0,semi_sickled,263,264.0,65.75,66.0,0.25,completed,0.01233677194250049,0.01903178353095427,0.019006704290707905,0.01087481544042627,0.004351135711961736,0.0030721028645833335,6,0.03,0,0.68281090259552
152.0,final_sickled,311,312.0,77.75,78.0,0.25,completed,0.007811059623296993,0.013294999138452113,0.009310114197432995,0.008648030925542116,0.004570288700051606,0.003911336263020833,6,0.03,0,0.8938655853271484
154.0,semi_sickled,338,339.0,84.5,84.75,0.25,completed,0.012231944786132468,0.027080904319882394,0.01995544632275899,0.009552784361100445,0.003781502464941392,0.0034688313802083335,6,0.03,0,0.615702748298645
155.0,semi_sickled,311,312.0,77.75,78.0,0.25,completed,0.013849950872827322,0.02077146639348939,0.019625914593537647,0.013667449277515212,0.005262083373963833,0.004465738932291667,6,0.03,0,0.8176442384719849
156.0,semi_sickled,263,289.0,65.75,72.25,6.5,completed,0.022499827535319775,0.07826957993675024,0.04736291016301801,0.0074915412753339735,0.003995770415771873,0.0034652217741935483,6,0.03,0,0.681084394454956
159.0,final_sickled,248,251.0,62.0,62.75,0.75,completed,0.013606049987356528,0.040052563283825296,0.021528884768486023,0.011493943718960509,0.003691200152388774,0.00408172607421875,6,0.03,0,0.6572904586791992
161.0,final_sickled,353,354.0,88.25,88.5,0.25,completed,0.010790339141870693,0.0170913286623545,0.01950400446852048,0.006521146899710099,0.002395479183178395,0.0032552083333333335,6,0.03,0,0.8236042857170105
162.0,final_sickled,165,166.0,41.25,41.5,0.25,completed,0.01242949223208901,0.024220050568692385,0.022238530218601227,0.006641885949647985,0.0054028995606737835,0.0042724609375,6,0.03,0,0.5690547227859497
163.0,final_sickled,363,364.0,90.75,91.0,0.25,completed,0.01234067145038959,0.021827232517534868,0.01974879950284958,0.010412709256343078,0.0027522080054041,0.0036214192708333335,6,0.03,0,0.6777594089508057
164.0,semi_sickled,449,,112.25,,,not_completed,0.024053298244723863,0.06793060024501757,0.04617243707180023,0.013102921972792902,0.004488074098480866,0.003498331705729167,6,0.03,0,0.5702236890792847
165.0,final_sickled,139,140.0,34.75,35.0,0.25,completed,0.007644598932771866,0.014106648624874651,0.006430005344251792,0.011607188576211533,0.004357501815926905,0.00372314453125,6,0.03,0,0.9233690500259399
166.0,final_sickled,378,388.0,94.5,97.0,2.5,completed,0.021893251411820525,0.047114784218138084,0.03762066463629405,0.015630921884439885,0.006480770629908269,0.0045125325520833336,6,0.03,0,0.6179000735282898
168.0,final_sickled,239,240.0,59.75,60.0,0.25,completed,0.011448975780998202,0.025919090985553343,0.025595776736736298,0.006366087201361855,0.005737019799804936,0.0033111572265625,6,0.03,0,0.6169411540031433
170.0,semi_sickled,210,213.0,52.5,53.25,0.75,completed,0.017210138528753305,0.037667985819280145,0.033499475568532944,0.007957468871609308,0.004234588413964957,0.00396728515625,6,0.03,0,0.5538539886474609
171.0,final_sickled,162,163.0,40.5,40.75,0.25,completed,0.013788609255182866,0.020741565525531767,0.01774875322977702,0.015422945686926445,0.005883221902574102,0.004445393880208333,6,0.03,0,0.7081597447395325
